000002;FEBRILIX GRIP  X 10TAB KIMICEG;0002;KIMICEG;7592616576046;53.83;38;0;0;0;0.00;NO;     ; ;0;0;0002;KIMICEG;1.47;01/07/25;
000004;ACETAMINOFEN (FEBRILIX) 500MG CAJA X 20 TAB KIMICEG;0002;KIMICEG;7592616203010;47.20;48;0;0;0;0.00;NO;     ; ;0;0;0002;KIMICEG;1.29;01/05/27;
000007;ACETAMINOFEN 120MG/5ML SUSP ORAL 120ML LAND;0005;JARABE;7598008000014;32.98;32;0;0;0;0.00;NO;     ; ;0;0;0006;LAND;0.90;01/08/25;
000008;ACETAMINOFEN 150MG/5ML 120ML LAPROFF;0005;JARABE;7703038067269;65.22;406;0;0;0;0.00;NO;     ; ;0;0;0007;LAPROFF;1.78;01/06/27;
000009;ACETAMINOFEN 150MG/5ML X 60ML LAPROF;0005;JARABE;7703038060987;31.51;94;0;0;0;0.00;NO;     ; ;0;0;0007;LAPROFF;0.86;01/05/26;
000011;ACETAMINOFEN 500 MG CAJA X 300 TAB X 30  BLIST LAPROF;0006;BLISTER;7703038050018;304.11;195;0;0;0;0.00;NO;     ; ;0;0;0007;LAPROFF;8.30;01/03/26;
000016;ACETAMINOFEN 750 MG X 10 COMP SPEFAR;0004;SPEFAR;7590027002079;76.68;48;0;0;0;0.00;NO;     ; ;0;0;0004;SPEFAR;2.10;01/09/25;
000017;ACETAMINOFEN 150MG/5ML  X 60 ML COASPHARMA;0005;JARABE;7703712035447;41.40;37;0;0;0;0.00;NO;     ; ;0;0;0011;COASPHARMA;1.13;01/04/25;
000018;ACETAMINOFEN SUSP ORAL 250MG/5ML 100ML KMPLUS;0005;JARABE;6942189530197;57.52;64;0;0;0;0.00;NO;     ; ;0;0;0012;KMPLUS;1.57;01/04/25;
000019;ACETAMINOFEN+TRAMADOL 325/37,5MG X 10 SPEFAR;0004;SPEFAR;7590027002277;84.69;1928;0;0;0;0.00;NO;     ; ;0;0;0004;SPEFAR;2.33;01/03/27;
000038;AEROCHAMBER  ADULTO BIO-MERCY;0010;EQUIPOS MEDICOS;6920210513029;604.56;2;0;0;0;0.00;NO;16.00; ;0;0;0023;BIO-MERCY;16.50;01/05/28;
000040;AGUA ESTERIL AMP 10ML CRUZ VERDE;0007;AMPOLLA;203571228037;12.46;878;0;0;0;0.00;NO;     ; ;0;0;0020;CRUZ VERDE;0.34;01/06/25;
000041;AGUA OXIGENADA 3% 500CC ALNA;0010;EQUIPOS MEDICOS;7593255000114;43.60;97;0;0;0;0.00;NO;     ; ;0;0;0025;ALNA;1.19;01/07/26;
000042;AGUA OXIGENADA 3% 100CC ALNA;0010;EQUIPOS MEDICOS;7593255000091;16.85;339;0;0;0;0.00;NO;     ; ;0;0;0025;ALNA;0.46;01/07/26;
