product_id;barcode;name;id;laboratory;unknown_1;unknown_2;unknown_3;price_usd;stock;due_date;unknown_5;unknown_6;unknown_7;unknown_8;unknown_9;unknown_10;unknown_11;unknown_12;unknown_13;unknown_14;unknown_15;unknown_16;unknown_17;unknown_18;unknown_19;unknown_20;unknown_21;unknown_22;unknown_23;unknown_24;unknown_25;unknown_26;unknown_27;unknown_28;unknown_29;unknown_30;unknown_31
100130;4029733000633;LEVOPRONT 6 MG X 120 ML JBE;1000080;Vargas;56;0;0;,00;0;00-00-00;,00;,00;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;;No especificada
100135;4104480705113;PROSPAN 100 ML JBE (KLINOS);1000290;Megalabs;40;0;0;331,17;0;00-00-00;,00;,00;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;;No especificada
100201;733739100047;CALCIO CITRATE X 100 TAB (NOW);1000640;Now De Venezuela;12;0;0;718,83;0;00-00-00;,00;,00;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;;No especificada
100203;733739100092;OMEGA3 1000 MG X 100 CAP (NOW);1000640;Now De Venezuela;12;0;0;422,42;0;00-00-00;,00;,00;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;;No especificada
100209;733739104434;FRUCTOSE AZUCAR DE FRUTAS 1360 GR (NOW);1000640;Now De Venezuela;16;1;0;,00;0;00-00-00;,00;,00;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;;No especificada
100210;733739100009;VIT. A 10.000 IU X 100 SOFT (NOW);1000640;Now De Venezuela;12;0;0;319,09;0;00-00-00;,00;,00;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;;No especificada
100211;733739104977;VIT. C 1000 MG X 100 TAB (NOW);1000640;Now De Venezuela;12;0;0;592,60;0;00-00-00;,00;,00;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;;No especificada
100215;733739100108;GARLIC OIL (A/AJO)X 100 CAP (NOW);1000640;Now De Venezuela;12;0;0;273,51;0;00-00-00;,00;,00;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;;No especificada
100217;733739100139;LECITHIN SOY 1200 MG X 100 CAP NOW;1000640;Now De Venezuela;12;0;0;559,09;0;00-00-00;,00;,00;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;;No especificada
100218;733739100153;BREWERS YEAST LEV/CEV 200TAB (NOW);1000640;Now De Venezuela;12;0;0;547,01;0;00-00-00;,00;,00;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;;No especificada
100219;733739100184;ALFALFA ORG. 650 MG X 250 TAB (NOW);1000640;Now De Venezuela;12;0;0;527,14;0;00-00-00;,00;,00;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;;No especificada
100222;733739100245;CASCARA SAGRADA 450 MG X 100 CAP NOW;1000640;Now De Venezuela;12;0;0;268,25;0;00-00-00;,00;,00;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;;No especificada
100224;733739100276;VALERIAN ROOT 500MG X 100 CAP NOW;1000640;Now De Venezuela;12;0;0;298,05;0;00-00-00;,00;,00;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;;No especificada
100226;736085069044;FLUMETOL NF OFTENO 5 ML GOT;1000130;Elmor;800;0;0;,00;0;00-00-00;,00;,00;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;;No especificada
100229;736085445053;3A OFTENO 5 ML GOT;1000130;Elmor;800;0;0;,00;0;00-00-00;,00;,00;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;;No especificada
100345;7501303494716;MESIGYNA  INSTAYECT AMP 1ML;1001720;AVPHARMA,C.A;160;0;0;481,17;0;00-00-00;,00;,00;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;N;0;,00;0;,00;0;,00;;No especificada
