product_id;name;price_usd;stock;barcode;due_date
10700107835;PURE DE MANZANA Y PERA 90GR. MAH;28.8;0;854688003309
10700107840;PURE DE MANZANA Y BANANA ORGANICO 90GR.;28.8;0;854688003293
10700107845;PURE DE MANZANA 90GR. MAH;28.8;0;854688003286
10700107846;PURE FRUTOS DEL BOSQUE  90GR. MAH;28.8;28;854688003668
10700107847;PURE FRUTAS TROPICALES  90GR. MAH;28.8;0;854688003651
10700107848;PURE DE MELOCOTON FRESA MANZANA 90GR  MA;28.8;0;854688003644
10700107849;PURE DE FRUTAS Y VEGETALES 90GR. MAH;25.92;3;854688003682
10700107850;PURE DE MANZANA Y MANGO ORGANICO 90 GR.;28.8;0;854688003330
10700226552;GALLETAS CLAS INF MAH FIRST COOKIES 100G;99.3;0;854688003514
10770107805;FORMULA 0-6 MESES HMO+1 MAH;391.2;0;854688003002
10770107806;FORMULA MAYOR DE 6 MESES HM0+2 MAH;391.2;0;854688003033
10770107807;FORMULA MAYOR DE 2 AOS HMO+3 MAH;365.4;31;854688003842
10770107820;FORMULA PREMIUM 6-12 MES 400G.MAH X 1;495.9;0;854688003729
10770107825;ELIMINAR;322.6;0;
10770107830;FORMULA PREMIUM S/LAC 0-12MESES 400G.MAH;456.4;0;854688003040
10100241400;NUCITA MERIENDITA D/S 6UND 20G MULTIPACK;91.2;0;1018455173
10100241410;PIRULIN LIME  ENVASE 190GR;173.76;0;7591675014407
10100241415;PIRULIN DISP 25PAQ X 3UND 16GR;328.13;0;7591675012984
10100241420;PIRULIN MAX CHOCO DISP 12 BARQUILLAS 34G;363.65;4;7591675013110
10100241425;PIRULIN COCO ESTUCHE 25 x  3UND X 16GR;321.6;0;7591675013158
10100241426;PIRULIN COCO ENVASE 190GR;174.05;6;7591675012847
10100241427;PIRULIN LIME ESTUCHE 3UND 16GR;335.0;0;7591675000325
10100241428;TOMI ESTUCHE  6UND 12GR;171.7;0;7591675000349
10100241430;PIRULIN CHOCOLATE DISPENSADOR 12 X 60GR;681.7;0;7591675000127
10100241435;PIRULIN CHOCO LUJO 120GR EDICION ESPECIA;113.57;0;7591675004767
10100241465;NUCITA TOPPING CREMA DE CACAO Y AVE 300G;174.8;0;7591675000097
10100241470;NUCITA D/S TUBITO DISPLAY 12 X 35G;395.2;0;7591675014209
10100241472;NUCITA TUBITO D/SABOR 3UND 35G MULTIPACK;98.7;0;7591675012922
10100241475;NUCITA MERIENDITA D/S 12 X 20G;177.02;4;7591675014247
10100241480;NUCITA D/S VASO DE PLASTICO 200G;146.88;3;7591675000363
10100241481;NUCITA D/S VASO DE PLASTICO DISPLAY 85G;67.97;0;7591675000264
10100241490;NUCITA PREMIUM ENVASE 280G;212.3;0;7591675013004
10100241495;PIRULIN CHOCOLATE ENVASE 300GR;264.67;42;7591675010508
10100241500;NUCITA 12 TUBITO 35G CHOCOLATE;395.2;0;7591675014223
10100241505;PIRULIN ENVASE 190GR CHOCOLATE;178.56;48;7591675002145
11900000001;NUTRAMIGEN PREMIUM CON LGG 357GR GENIA C;1064.7;0;7506205804847
11900000002;ENFAMIL PREMIUM PROMENTAL 375G ETAPA 1;811.3;3;7506205808999
11900000003;ENFAMIL PREMIUM PROMENTAL 375G ETAPA 2;783.4;0;7506205808944
12900000001;MAYONESA KRAFT 445G MONDELEZ;135.97;9;7591114040042
12900000002;MAYONESA KRAFT 175G MONDELEZ;73.72;18;7622201512279
12900000003;CHEEZ WHIZ  198G  MONDELEZ;113.3;0;7622201640767
12900000005;TANG NARANJA 12SOBRES 20G MONDELEZ;961.6;0;7590011891962
12900000006;TANG MORA 12SOBRES  20G  MONDELEZ;961.6;0;7590011892525
12900000007;TANG PARCHITA 12SOBRES 20G  MONDELEZ;961.6;0;7590011891986
12900000010;CLUB SOCIAL INTEGRAL 6S 156G MONDELEZ;44.35;0;7622210611307
12900000011;CLUB SOCIAL ORIGINAL  6S 156G MONDELEZ;43.89;53;7622210610652
12900000012;OREO CONFETI TUBO 108GR MONDELEZ;36.6;0;7622201705848
12900000013;BELVITA KRAKER 9S  234GRS MONDELEZ;76.45;107;7590011890866
12900000014;BELVITA HONY 9S OW  252G MONDELEZ;76.45;95;7590011890910
12900000015;SODA PREMIUM 6S  OW  156GR  MONDELEZ;39.79;23;7622210711069
12900000016;OREO VAINILLA  6S 216G MONDELEZ;66.14;0;7622210615183
12900000017;OREO VAINILLA TUBO 108G MONDELEZ;37.5;0;7590011116607
12900000018;OREO CHOCOLATE  6S  216G MONDELEZ;65.86;0;7622210613226
12900000019;OREO CHOCOLATE TUBO 108GRS MONDELEZ;36.57;0;7590011117604
12900000020;OREO AMERICANO 6S  216G MONDELEZ;65.86;0;7622210615190
12900000021;OREO AMERICANO TUBO 108G MONDELEZ;36.57;0;7590011151615
12900000022;OREO FRESA 6S 216G MONDELEZ;65.86;0;7622210615589
12900000023;OREO FRESA TUBO 108G MONDELEZ;35.62;0;7622210772510
12900000024;OREO CAFE 6S  216G MONDELEZ;67.0;0;7622210654540
12900000025;OREO CAF TUBO 108G MONDELEZ;36.6;0;7622210649546
12900000026;OREO CHOCOLATE NAV 6S  216G MONDELEZ;1374.3;0;7590011891245
12900000027;OREO CHOCOLATE NAV 108G MONDELEZ;1558.4;0;7590011117659
12900000028;OREO VAINILLA NAV 6S  216G MONDELEZ;51.8;0;7590011891238
12900000029;OREO VAINILLA NAVIDAD OW 48 108G MONDELE;1558.4;0;7622201639075
12900000030;OREO CONFETI  6S 216G MONDELEZ;67.0;0;7622201705817
12900000031;CHIPS AHOY 6S 168 GRS  MONDELEZ;68.68;0;7622201103675
12900000032;MINI CHIPS VAINILLA 180GR MONDELEZ;46.18;0;7590011893041
12900000033;SORBETICOS VAINILLA 4S MONDELEZ;34.56;0;7590011890972
12900000034;SORBETICOS FRESA 4S MONDELEZ;34.56;12;7590011890965
12900000035;SORBETICOS AREQUIPE 4S MONDELEZ;34.56;0;7622210648969
12900000036;TRIDENT CHICLE MENTA 5UND DISPLAY 18 PAQ;347.7;5;7622201776657
12900000037;TRIDENT SLAB YERBABUENA 5UND X 18 PAQ;347.7;0;7622201776565
12900000038;OREO FUDGE OW 6'S (168G);84.58;0;7622201736132
12900000039;SORBETICO COCO 4S;46.8;0;7622201736101
12900000040;TRIDENT SLAB MORA 5UND DISPLAY 18PAQ;347.7;0;7622201776688
12900000041;HALLS 9S EXTRA STRONG 12 PAQ;231.6;0;7622210426987
12900000042;TRIDENT SLAB SADIA 5UND DISPLAY 18PAQ;234.23;0;7622201776626
12900000043;HALLS 9S CHERRY LYPTUS 12PAQ;231.6;0;7622210426963
12900000044;BUBBALOO CEREZA;156.1;0;7622201769956
12900000045;BUBBALOO FRUTA;156.1;0;7622201769987
12900000046;BUBBA SPARKIES 20S X 25GR;231.6;0;7702133462160
12900000047;OREO NAVIDAD AMERICANA TUBO 108G MONDELE;35.25;0;7622201731151
12900000048;HALLS 9S MENTHA-LYPTUS 12 PAQ;231.6;0;7622210426970
12900000049;OREO NAVIDAD AMERICANA OW  206G MONDELEZ;36.0;0;7622201731120
12900000050;BELVITA HONY MANZANA CANELA 9S 252G MOND;74.24;0;7622201736163
