barcode;id;name;wholesale_price_ves;price_usd_reference;final_price_ves;price_usd;stock;laboratory;credit_days;percent_supplier;dicount_supplier;digital_discount;soon_payment_discount;discount_per_volume;min_amount_per_volume;discount_per_row;min_amount_per_row;rows;due_date
733739001054;28239;5-HTP CAP 100MG X 60 NOW;749.01;20.63;726.54;20.01;56;NOW DE VENEZUELA, C.A.;21;0.0;0;0;3;0;1;0;1;0
7596347794793;21745;9 VIT SOL/AMP 10 ML X 1;389.4;10.73;377.72;10.41;92;DROVENPLUS TACHIRA, C.A;0;0.0;0;0;3;0;1;0;1;0
7591039000756;30195;ABCITOOS FANTASIA X 240G;81.37;2.24;78.93;2.17;11;ALFONZO RIVAS & CIA, C.A.;0;0.0;0;0;3;0;1;0;1;0
7598055000418;27812;ABECAB TAB 5/20MG X 30;304.41;8.39;236.22;6.51;330;CAPSUVEN PHARMA LABS C.A;30;20.0;0;0;3;0;1;0;1;0
612197152006;19895;ABINTRA ALIM/GLUTAMINA PVO NARANJA 27 G;298.7;8.23;289.74;7.98;227;MEGALABS VZL, C.A.;21;0.0;0;0;3;0;1;0;1;0
7591619520896;17770;ABRETIA CAP 18 MG X 10;756.76;20.85;734.06;20.22;102;MEGALABS VZL, C.A.;21;0.0;0;0;3;0;1;0;1;0
684753033654;19320;ABSORBENTES ECOBABY ECOLOGICO/BASIC X 3;47.87;1.32;46.43;1.28;75;REPRESENTACIONES JOHALNIL, C.A;0;0.0;0;0;3;0;1;0;1;0
7598176000441;28509;AC FOLICO TAB 5MG X 60 ANGELUS;93.55;2.58;90.74;2.5;386;INVERSIONES ANGELUS HEALTH C.A;21;0.0;0;0;3;0;1;0;1;0
7803510003669;28553;ACCUALAXAN PVO/SOL SOB 17G X 7;310.81;8.56;301.49;8.31;34;MEGALABS VZL, C.A.;21;0.0;0;0;3;0;1;0;1;0
7803510003638;28554;ACCUALAXAN PVO/SOL X 255G;425.68;11.73;412.91;11.37;29;MEGALABS VZL, C.A.;21;0.0;0;0;3;0;1;0;1;0
7593090001758;24433;ACEITE ARNICA FC CREMOSO X 200 ML;234.57;6.46;204.78;5.64;12;LABORATORIOS FC PHARMA, C.A.;30;10.0;0;0;3;0;1;0;1;0
